customer_id;first_name;last_name;gender;past_3_years_bike_related_purchases;DOB;Age;Age Group;job_title;job_industry_category;wealth_segment;deceased_indicator;owns_car;tenure
1;Laraine;Medendorp;Female;93;1953/10/12;43;Middle Age;Executive Secretary;Health;Mass Customer;N;Yes;11
2;Eli;Bockman;Male;81;1980/12/16;70;Older Adult;Administrative Officer;Financial Services;Mass Customer;N;Yes;16
3;Arlin;Dearle;Male;61;1954/01/20;63;Older Adult;Recruiting Manager;Property;Mass Customer;N;Yes;15
4;Talbot;;Male;33;1961/10/03;47;Middle Age;;IT;Mass Customer;N;No;7
5;Sheila-kathryn;Calton;Female;56;1977/05/13;58;Middle Age;Senior Editor;;Affluent Customer;N;Yes;8
6;Curr;Duckhouse;Male;35;1966/09/16;48;Middle Age;;Retail;High Net Worth;N;Yes;13
7;Fina;Merali;Female;6;1976/02/23;62;Older Adult;;Financial Services;Affluent Customer;N;Yes;11
8;Rod;Inder;Male;31;1962/03/30;51;Middle Age;Media Manager I;;Mass Customer;N;No;7
9;Mala;Lind;Female;97;1973/03/10;36;Young Adult;Business Systems Development Analyst;Argiculture;Affluent Customer;N;Yes;8
10;Fiorenze;Birdall;Female;49;1988/10/11;70;Older Adult;Senior Quality Engineer;Financial Services;Mass Customer;N;Yes;20
11;Uriah;Bisatt;Male;99;1954/04/30;30;Young Adult;;Property;Mass Customer;N;No;9
12;Sawyere;Flattman;Male;58;1994/07/21;69;Older Adult;Nuclear Power Engineer;Manufacturing;Mass Customer;N;No;8
13;Gabriele;Norcross;Male;38;1955/02/15;41;Middle Age;Developer I;Financial Services;High Net Worth;N;Yes;8
14;Rayshell;Kitteman;Female;85;1983/03/25;24;Young Adult;Account Executive;Financial Services;Affluent Customer;N;No;6
15;Erroll;Radage;Male;91;2000/07/13;47;Middle Age;Junior Executive;Manufacturing;Mass Customer;N;No;1
16;Harlin;Parr;Male;38;1977/02/27;62;Older Adult;Media Manager IV;;Mass Customer;N;Yes;18
17;Heath;Faraday;Male;57;1962/03/19;57;Middle Age;Sales Associate;;Affluent Customer;N;Yes;15
18;Marjie;Neasham;Female;79;1967/07/06;23;Young Adult;Professor;;Affluent Customer;N;No;11
19;Sorcha;Keyson;Female;76;2001/04/15;44;Middle Age;Geological Engineer;Manufacturing;High Net Worth;N;No;1
